,books,rating,average_votes
126,Memoirs of an Invisible Man,4.11,1465
127,"Dark Metropolis (Dark Metropolis, #1)",3.43,1116
128,"The Girl with the Dragon Tattoo (Millennium, #1)",4.13,2223909
129,The Extended Mission of Stardust Four Zero,3.0,1
130,Mortal Engines,3.83,1984
131,Mr. Murder,3.74,22335
132,Never Let Me Go,3.81,386650
133,Night Of The Big Heat,3.44,18
134,The Hidden Oasis,3.78,2155
135,"Omega, the Man",3.29,17
136,Tarzan And The Silver Globe ..,2.83,6
137,Paprika,3.26,2018
138,Parasite Eve,3.59,1164
139,"The People That Time Forgot (Caspak, #2)",3.7,1706
140,The Postman,3.88,28329
141,The Power,3.88,85557
142,The Prestige,3.88,15618
143,"A Princess of Mars (Barsoom, #1)",3.8,46300
144,Project X,3.57,921
145,Julius Caesar: The Pursuit of Power,3.67,149645
146,The Quiet Earth,3.52,314
147,Radio Free Albemuth,3.8,5044
148,"Ready Player One (Ready Player One, #1)",4.28,677765
149,Return from Witch Mountain,3.76,508
150,"The Gods of Riverworld (Riverworld, #5)",3.62,3313
151,The Road,3.96,622113
152,The Running Man,3.85,84062
153,The Satan Bug,3.7,2228
154,A Scanner Darkly,4.03,72854
155,Skullduggery,3.4,10
156,Slaughterhouse-Five,4.07,991141
157,"Solar Dance: Genius, Forgery and the Crisis of Truth in the Modern Age",3.39,107
158,Solaris,3.98,58424
159,"Sherman: Soldier, Realist, American",4.13,213
160,Solo,3.99,6703
161,Somewhere In Time,3.89,6168
162,La soupe aux choux,3.97,60
163,Soylent Green,3.72,5727
164,"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",4.02,28891
165,Starship Troopers,4.0,165863
166,"Articles on Films Based on IRA Levin's Works, Including: The Boys from Brazil (Film), the Stepford Wives (2004 Film), a Kiss Before Dying (1991 Film), the Stepford Wives (1975 Film), Rosemary's Baby (Film), the Stepford Children",1.0,1
167,Stepford Husbands,2.75,12
168,The Stepford Wives,3.74,24468
169,The Strange World of Planet X,3.0,1
170,Subterranean,4.02,20606
171,"Damned (Damned, #1)",3.38,42425
172,"Sweet Thing (Sweet Thing, #1)",3.99,15317
173,The Prisoners of the Thirteenth Floor,4.29,7
174,This Island Earth,3.66,135
175,The Three-Body Problem (Remembrance of Earth’s Past #1),4.05,81604
176,The Time Machine,3.88,348539
177,The Time Traveler's Wife,3.96,1421801
178,Timeline,3.84,171603
179,Timescape,3.73,9501
180,À ton image,2.0,4
181,Moonwalk: The First Trip to the Moon,3.81,81
182,The Tunnel Under the World,3.9,400
183,The Ugly Swans,4.31,1265
184,The Village Schoolmaster,3.3,40
185,Vinyl (Vinyl #1),4.14,400
186,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,4.11,84456
187,All the Light We Cannot See,4.33,751711
188,"When Worlds Collide (When Worlds Collide, #1)",3.91,1847
189,"Woman of the Sun, Woman of the Moon",3.57,23
190,Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,3.96,17519
191,"The World, the Flesh and the Devil",3.92,133
192,"A Wrinkle in Time (Time Quintet, #1)",4.02,829546
193,Z for Zachariah,3.65,12702
