,Title,Movie Rating,Movie Revenue,Book Title,Book Rating,Average Votes
85,f.p.1,,,Twenty Thousand Leagues Under the Sea,3.87,167478
86,the face of another,8.0,,The Face of Another,3.78,2717
87,fahrenheit 451,7.3,,Fahrenheit 451,3.98,1355170
88,fantastic planet,7.8,,Fantastic Planet,3.43,21
89,fatherland,6.5,,Fatherland,3.97,28586
90,the final programme,5.6,,The Final Programme,3.54,728
91,four sided triangle,5.9,,Four-Sided Triangle,3.6,30
92,freejack,5.3,,Freejack,3.82,1799
93,the girl who leapt through time,7.8,,The Girl Who Leapt Through Time,3.34,1607
94,the girl with all the gifts,6.7,,"The Girl With All the Gifts (The Girl With All the Gifts, #1)",3.94,157509
95,the giver,6.5,33480518.0,The Giver,4.12,1485533
96,the gladiator,5.5,,"Gladiator (Galactic Gladiators, #1)",4.0,2265
97,goldengirl,4.5,,Goldengirl,3.27,44
98,gor,3.5,,Tarnsman of Gor (Gor #1),3.41,3586
99,guest from the future,8.4,,The Guest from the Future: Anna Akhmatova and Isaiah Berlin,3.84,19
100,the handmaid's tale,8.6,,The Handmaid's Tale,4.09,996490
101,hard to be a god,6.7,,Hard to Be a God,4.22,8061
102,harrison bergeron,7.4,,Harrison Bergeron,4.22,12163
103,the high crusade,5.0,,The High Crusade,3.9,3121
104,the hitchhiker's guide to the galaxy,6.8,51019112.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.22,1184113
105,the host,5.9,26609448.0,"The Host (The Host, #1)",3.84,816711
106,the hunger games,7.2,407981652.0,The Hunger Games Series (A BookCaps Study Guide),4.34,67
107,i am legend,7.2,256399999.0,I Am Legend,4.06,74747
108,i am number four,6.1,55086029.0,"I Am Number Four (Lorien Legacies, #1)",3.94,290823
109,i am omega,3.3,,I Am Legend,4.06,74747
110,in search of the castaways,6.7,,"In Search of the Castaways; or the Children of Captain Grant (Extraordinary Voyages, #5)",4.08,9197
111,the incredible shrinking man,7.7,,The Incredible Shrinking Man,3.83,6
