Book Title,Book Rating,Average Votes,Title
The Incredible Shrinking Man,3.83,6,the incredible shrinking man
The Incredible Shrinking Woman,2.67,6,the incredible shrinking woman
The Art of the Iron Giant - CANCELLED,4.28,46,the iron giant
The Iron Heel,3.75,6876,the iron heel
Island At The Top Of The World,3.85,127,the island at the top of the world
"Jumper (Jumper, #1)",3.9,12140,jumper
"Jurassic Park (Jurassic Park, #1)",4.0,716286,jurassic park
"K-Pax (K-Pax, #1)",4.09,2382,k-pax
"The Land That Time Forgot (Caspak, #1)",3.81,2377,the land that time forgot
"The Last Man on Earth (The Graysons, #1)",3.42,826,the last man on earth
The Lathe of Heaven,4.1,41770,lathe of heaven
The Lathe of Heaven,4.1,41770,the lathe of heaven
Hippocrates Lifeforce: Superior Health and Longevity,4.26,35,lifeforce
"Logan's Run (Logan, #1)",3.67,9072,logan's run
The Lost World (Jurassic Park #2),3.76,104826,the lost world: jurassic park
Le Maître Du Temps,4.33,3,les maîtres du temps
The Man Who Fell to Earth,4.03,5035,the man who fell to earth
"Marooned in Realtime (Across Realtime, #2)",4.08,4670,marooned
The Martian,4.4,652644,the martian
"The Maze Runner (The Maze Runner, #1)",4.03,872243,the maze runner
Maze Runner: The Death Cure: The Official Graphic Novel Prelude,3.92,106,maze runner: the death cure
Maze Runner: The Scorch Trials: The Official Graphic Novel Prelude,3.92,2624,maze runner: the scorch trials
"Meg (MEG, #1)",3.75,15651,the meg
Memoirs of an Invisible Man,4.11,1465,memoirs of an invisible man
"Dark Metropolis (Dark Metropolis, #1)",3.43,1116,metropolis
"The Girl with the Dragon Tattoo (Millennium, #1)",4.13,2224337,millennium
The Extended Mission of Stardust Four Zero,3.0,1,mission stardust
Mortal Engines,3.83,1984,mortal engines
Mr. Murder,3.74,22333,mr. murder
Never Let Me Go,3.81,386767,never let me go
Night Of The Big Heat,3.44,18,night of the big heat
The Hidden Oasis,3.78,2155,oasis
"Omega, the Man",3.29,17,the omega man
Tarzan And The Silver Globe ..,2.83,6,on the silver globe
Paprika,3.26,2019,paprika
Parasite Eve,3.59,1164,parasite eve
"The People That Time Forgot (Caspak, #2)",3.7,1706,the people that time forgot
The Postman,3.88,28329,the postman
The Power,3.88,85666,the power
The Prestige,3.88,15622,the prestige
"A Princess of Mars (Barsoom, #1)",3.8,46302,princess of mars
Project X,3.57,921,project x
Julius Caesar: The Pursuit of Power,3.67,149667,pursuit
The Quiet Earth,3.52,314,the quiet earth
Radio Free Albemuth,3.8,5044,radio free albemuth
"Ready Player One (Ready Player One, #1)",4.28,678054,ready player one
Return from Witch Mountain,3.76,508,return from witch mountain
"The Gods of Riverworld (Riverworld, #5)",3.62,3313,riverworld
"The Gods of Riverworld (Riverworld, #5)",3.62,3313,riverworld
The Road,3.96,622235,the road
The Running Man,3.85,84096,the running man
The Satan Bug,3.7,2229,the satan bug
A Scanner Darkly,4.03,72874,a scanner darkly
Skullduggery,3.4,10,skullduggery
Slaughterhouse-Five,4.07,991321,slaughterhouse-five
"Solar Dance: Genius, Forgery and the Crisis of Truth in the Modern Age",3.39,107,solar crisis
Solaris,3.98,58448,solaris
"Sherman: Soldier, Realist, American",4.13,213,soldier
Solo,3.99,6707,solo
Somewhere In Time,3.89,6168,somewhere in time
La soupe aux choux,3.97,60,la soupe aux choux
Soylent Green,3.72,5729,soylent green
"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",4.02,28922,stalker
Starship Troopers,4.0,165892,starship troopers
"Articles on Films Based on IRA Levin's Works, Including: The Boys from Brazil (Film), the Stepford Wives (2004 Film), a Kiss Before Dying (1991 Film), the Stepford Wives (1975 Film), Rosemary's Baby (Film), the Stepford Children",1.0,1,the stepford children
Stepford Husbands,2.75,12,the stepford husbands
The Stepford Wives,3.74,24476,the stepford wives
The Strange World of Planet X,3.0,1,the strange world of planet x
Subterranean,4.02,20610,the subterraneans
"Damned (Damned, #1)",3.38,42437,the damned
