Movie Title,Movie Rating,Movie Revenue,books,rating,average_votes
by dawn's early light,7.1,,"The Knife of Never Letting Go (Chaos Walking, #1)",3.97,129849.0
carnosaur,3.5,,The Library at Mount Char,4.08,23188.0
cell,4.3,,Charodei ponevole,0.0,0.0
the incredible shrinking woman,5.4,,"K-Pax (K-Pax, #1)",4.09,2381.0
the thirteenth floor,7.0,,"The World, the Flesh and the Devil",3.92,133.0
charodei,7.3,,The Circle,3.44,160697.0
children of men,7.9,35100000.0,"The City of Ember (Book of Ember, #1)",3.86,220872.0
children of the damned,6.2,,A Clockwork Orange,3.99,517576.0
the circle,5.3,20476300.0,Cloud Atlas,4.02,189776.0
city of ember,6.5,7800000.0,Cocoon,3.95,317.0
a clockwork orange,8.3,,"Films Directed by Joseph Sargent (Study Guide): Jaws: The Revenge, the Taking of Pelham One Two Three, Colossus: The Forbin Project, Nightmares",0.0,0.0
cloud atlas,7.5,22100000.0,Congo,3.58,144024.0
cocoon,6.7,,The Futurological Congress: From the Memoirs of Ijon Tichy,4.21,7789.0
colossus: the forbin project,7.2,,The Conquest of Space,4.23,31.0
congo,5.1,,"Focus On: Search for Extraterrestrial Intelligence: Fermi Paradox, Kardashev Scale, Wow! Signal, Dyson Sphere, Contact (1997 American film), Voyager Golden ... Pioneer Plaque, Arecibo Message, etc.",0.0,0.0
return from witch mountain,5.9,,La soupe aux choux,3.97,60.0
conquest of space,5.8,,Damnation Alley,3.55,4046.0
contact 1997 american,,,Dandelion Wine,4.09,46032.0
countdown,6.0,,"Dark Planet Falling (Dark Planet Warriors, #2)",4.07,2041.0
damnation alley,5.2,,"The Darkest Minds (The Darkest Minds, #1)",4.21,120077.0
dandelion wine,,,The Day of the Dolphin,3.83,749.0
earth vs. the flying saucers,6.4,,Twenty Thousand Leagues Under the Sea,3.87,167437.0
the darkest minds,5.6,,"Lietuvos Roko Atlik Jai: Andrius Mamontovas, Days of Eclipse, Antis, LT United, Atalyja, Amberlife, Gyvai, Poliarizuoti Stiklai",0.0,0.0
the day of the dolphin,6.1,,The Dead Mountaineer Hotel,0.0,0.0
the day of the triffids,6.1,,"Homeward Bound (Deathlands, #5)",3.83,406.0
the two worlds of jennie logan,7.1,,,,
dead mountaineer's hotel,,,Demon Seed,3.4,12701.0
the war of the worlds,7.2,,The War of the Worlds,3.81,206289.0
deluge,6.2,,"Divergent (Divergent, #1)",4.21,2530565.0
demon seed,6.3,,"The World of Divergent: The Path to Allegiant (Divergent, #2.5)",3.97,30334.0
destination moon,6.4,,"Divergent Series (Divergent, Insurgent, Allegiant): by Veronica Roth -- Sidekick",4.46,61.0
the divergent series: insurgent,,,Earth vs. the Flying Saucers,0.0,0.0
the divergent series: allegiant,,,"Eagle Eye (Shadows in the Dark, #6)",0.0,0.0
the divergent series: insurgent,,,Earth vs. the Flying Saucers,0.0,0.0
dreamscape,6.3,,The Edge of Tomorrow,3.94,1057.0
the incredible shrinking man,7.7,,"Jurassic Park (Jurassic Park, #1)",4.0,716165.0
